,,TRUNK,85367,1,08/02/2024,['KAb2912576-8854-499f-880a-6daaa09ad31d'],,Not-Started
,,YYCBV,816034130052,2,08/02/2024,"['KAac67982b-2e8e-4ca9-9da9-fada45378737', 'KAdefd0567-0c94-4f07-ad8c-6512dda14e52']",,Not-Started
,,MCORO,54444,1,08/02/2024,['KA8e9893e6-4edb-4f88-bf74-11844b271def'],,Not-Started
,JW (new),WASJW,2409621375,1,08/02/2024,['KA1fdb3bca-89dd-4d51-9cf2-7e2729c27305'],,Not-Started
,Marriott,SATRC,912102480760,1,08/02/2024,['KA9a928dd8-6215-4f35-b60b-28a999682dd2'],,Not-Started
,Marriott,SATRC,18003648064,6,08/02/2024,"['KAb02f2773-3186-4539-9766-3c277ec62675', 'KA6b50ab06-8d60-49ff-907a-fa3c72dfe5a3', 'KAed77eb90-0be6-4a85-bd6c-ac7216acdddd', 'KA8b341441-045f-4cd5-9add-495ddb05f76c', 'KA95c2a4fb-f8ce-423c-ae87-ad071b252f33', 'KAe57e9154-da10-4db5-be10-e69df5e98d87']",,Not-Started
,Marriott,SATRC,18003648064,1,08/02/2024,['KA7f4eb75e-2881-4cfe-aabd-38d2a9ca8a11'],,Not-Started
,Vacation Club,RNOTL,6611,1,08/02/2024,['KA3b2db7ea-78f4-40c9-b8fe-14ccb076e946'],,Not-Started
,JW (new),WASJW,1313,1,08/02/2024,['KAe1b0a180-b1d8-4e9e-92d0-17591602a561'],,Not-Started
,Westin,MCODW,4893,1,08/02/2024,['KAf1ba1649-9339-4702-8659-5d1b126458bc'],,Not-Started
,Marriott,SATRC,12102480760,1,08/02/2024,['KA6416867f-9435-4c16-9be8-143990a02045'],,Not-Started
,Marriott,SATRC,2108546781,1,08/02/2024,['KA4329469f-62d9-4c44-89f1-9e5176011c2d'],,Not-Started
,Marriott,SATRC,6061,1,08/02/2024,['KAec12852f-d1bd-4028-a783-8870a8236dc5'],,Not-Started
,JW (new),WASJW,6809,1,08/02/2024,['KAe812546a-db02-43d1-b317-e6657642a1ae'],,Not-Started
,Gaylord,MCOGP,141467,1,08/02/2024,['KA90e0d77f-eb9b-440b-a583-5162e3cdb3c7'],,Not-Started
,Vacation Club,RNOTL,6785,1,08/02/2024,['KA579eb230-5103-47e7-be67-ebc35b0a861e'],,Not-Started
,Marriott,SATRC,4550,1,08/02/2024,['KA6f8ab182-7de1-4a7c-be20-fb0b837b7efe'],,Not-Started
,Double Tree,EWRNA,1940,1,08/02/2024,['KAd9f8c50a-2ac6-4082-aa9a-4099dbf006a3'],,Not-Started
,Marriott,SATRC,18664357627,1,08/02/2024,['KAbc649f8c-a952-450d-90ff-f72641bea7a9'],,Not-Started
,Marriott,SATRC,9598882720,1,08/02/2024,['KA06ef556a-6475-4a45-a527-04d98a63931f'],,Not-Started
,Westin,MCOSI,2305,1,08/02/2024,['KA12f1f22a-f681-483f-a7c8-7c678a3a0a21'],,Not-Started
,JW (new),WASJW,2029616287,1,08/02/2024,['KA8d6a217f-307a-4d35-941a-fff137d0e66f'],,Not-Started
,Gaylord,BNAGO,5555,1,08/02/2024,['KA317bb70d-4ac1-4ca4-95a5-ab7b066fd93e'],,Not-Started
,JW (new),WASJW,202,1,08/02/2024,['KA9558c4f0-d255-49e1-ac42-3693f9b93d86'],,Not-Started
,JW (new),WASJW,6653,1,08/02/2024,['KA13a19a5a-3aa3-437a-a064-ed136b4201bb'],,Not-Started
,Westin,MCOSI,3213202706,1,08/02/2024,['KA8a100ad9-ca3d-4037-9324-8bce8c87a837'],,Not-Started
,Marriott,SATRC,19598882720,1,08/02/2024,['KAba4c37ef-6ba8-479a-a86b-74c2fa75c0bc'],,Not-Started
,Gaylord,DALGT,83926,1,08/02/2024,['KA0862e518-0f95-49bc-96cc-19d848485e9a'],,Not-Started
